date,ACM1,ACM0
Thu Mar  4 19:02:37 2021,    pH:6.84 ,    pH:6.55 
Thu Mar  4 19:07:38 2021,    pH:6.80 ,    pH:6.52 
Thu Mar  4 19:12:40 2021,    pH:6.81 ,    pH:6.53 
Thu Mar  4 19:17:42 2021,    pH:6.80 ,    pH:6.53 
Thu Mar  4 19:22:44 2021,    pH:6.82 ,    pH:6.53 
Thu Mar  4 19:27:46 2021,    pH:6.83 ,    pH:6.54 
Thu Mar  4 19:32:47 2021,    pH:6.84 ,    pH:6.55 
Thu Mar  4 19:37:49 2021,    pH:6.84 ,    pH:6.54 
Thu Mar  4 19:42:51 2021,    pH:6.83 ,    pH:6.54 
Thu Mar  4 19:47:53 2021,    pH:6.76 ,    pH:6.51 
Thu Mar  4 19:52:55 2021,    pH:6.80 ,    pH:6.51 
Thu Mar  4 19:57:56 2021,    pH:6.83 ,    pH:6.53 
Thu Mar  4 20:02:58 2021,    pH:6.83 ,    pH:6.54 
Thu Mar  4 20:08:00 2021,    pH:6.82 ,    pH:6.53 
Thu Mar  4 20:13:02 2021,    pH:6.80 ,    pH:6.54 
Thu Mar  4 20:18:04 2021,    pH:6.82 ,    pH:6.54 
Thu Mar  4 20:23:05 2021,    pH:6.83 ,    pH:6.53 
Thu Mar  4 20:28:07 2021,    pH:6.82 ,    pH:6.56 
Thu Mar  4 20:33:09 2021,    pH:6.83 ,    pH:6.54 
Thu Mar  4 20:38:11 2021,    pH:6.80 ,    pH:6.51 
Thu Mar  4 20:43:13 2021,    pH:6.80 ,    pH:6.55 
Thu Mar  4 20:48:14 2021,    pH:6.83 ,    pH:6.54 
Thu Mar  4 20:53:16 2021,    pH:6.82 ,    pH:6.53 
Thu Mar  4 20:58:18 2021,    pH:6.79 ,    pH:6.50 
Thu Mar  4 21:03:20 2021,    pH:6.85 ,    pH:6.55 
Thu Mar  4 21:08:22 2021,    pH:6.79 ,    pH:6.52 
Thu Mar  4 21:13:23 2021,    pH:6.81 ,    pH:6.52 
Thu Mar  4 21:18:25 2021,    pH:6.78 ,    pH:6.51 
Thu Mar  4 21:23:27 2021,    pH:6.81 ,    pH:6.53 
Thu Mar  4 21:28:29 2021,    pH:6.82 ,    pH:6.51 
Thu Mar  4 21:33:31 2021,    pH:6.83 ,    pH:6.51 
Thu Mar  4 21:38:32 2021,    pH:6.80 ,    pH:6.51 
Thu Mar  4 21:43:34 2021,    pH:6.83 ,    pH:6.53 
Thu Mar  4 21:48:36 2021,    pH:6.82 ,    pH:6.53 
Thu Mar  4 21:53:38 2021,    pH:6.80 ,    pH:6.51 
Thu Mar  4 21:58:40 2021,    pH:6.80 ,    pH:6.51 
Thu Mar  4 22:03:42 2021,    pH:6.80 ,    pH:6.52 
Thu Mar  4 22:08:43 2021,    pH:6.78 ,    pH:6.51 
Thu Mar  4 22:13:45 2021,    pH:6.82 ,    pH:6.53 
Thu Mar  4 22:18:47 2021,    pH:6.81 ,    pH:6.52 
Thu Mar  4 22:23:49 2021,    pH:6.77 ,    pH:6.51 
Thu Mar  4 22:28:50 2021,    pH:6.77 ,    pH:6.52 
Thu Mar  4 22:33:52 2021,    pH:6.82 ,    pH:6.54 
Thu Mar  4 22:38:54 2021,    pH:6.80 ,    pH:6.56 
Thu Mar  4 22:43:56 2021,    pH:6.80 ,    pH:6.54 
Thu Mar  4 22:48:58 2021,    pH:6.82 ,    pH:6.57 
Thu Mar  4 22:54:00 2021,    pH:6.81 ,    pH:6.53 
Thu Mar  4 22:59:01 2021,    pH:6.81 ,    pH:6.55 
Thu Mar  4 23:04:03 2021,    pH:6.83 ,    pH:6.55 
Thu Mar  4 23:09:05 2021,    pH:6.83 ,    pH:6.57 
Thu Mar  4 23:14:07 2021,    pH:6.84 ,    pH:6.56 
Thu Mar  4 23:19:09 2021,    pH:6.85 ,    pH:6.57 
Thu Mar  4 23:24:10 2021,    pH:6.83 ,    pH:6.55 
Thu Mar  4 23:29:12 2021,    pH:6.80 ,    pH:6.53 
Thu Mar  4 23:34:14 2021,    pH:6.84 ,    pH:6.57 
Thu Mar  4 23:39:16 2021,    pH:6.84 ,    pH:6.55 
Thu Mar  4 23:44:18 2021,    pH:6.80 ,    pH:6.51 
Thu Mar  4 23:49:19 2021,    pH:6.82 ,    pH:6.53 
Thu Mar  4 23:54:21 2021,    pH:6.84 ,    pH:6.53 
Thu Mar  4 23:59:23 2021,    pH:6.80 ,    pH:6.51 
Fri Mar  5 00:04:25 2021,    pH:6.80 ,    pH:6.52 
Fri Mar  5 00:09:26 2021,    pH:6.83 ,    pH:6.53 
Fri Mar  5 00:14:28 2021,    pH:6.85 ,    pH:6.54 
Fri Mar  5 00:19:30 2021,    pH:6.84 ,    pH:6.54 
