date,ACM1s2,ACM1s1,ACM0s2,ACM0s1
Fri Feb  5 07:45:19 2021,7.148,7.075,7.259,7.274
Fri Feb  5 07:50:20 2021,7.149,7.066,7.255,7.267
Fri Feb  5 07:55:21 2021,7.151,7.063,7.255,7.275
Fri Feb  5 08:00:22 2021,7.151,7.082,7.260,7.279
Fri Feb  5 08:05:24 2021,7.152,7.083,7.262,7.279
Fri Feb  5 08:10:25 2021,7.152,7.085,7.258,7.280
Fri Feb  5 08:15:26 2021,7.152,7.093,7.260,7.282
Fri Feb  5 08:20:27 2021,7.159,7.084,7.259,7.286
Fri Feb  5 08:25:28 2021,7.158,7.081,7.260,7.285
Fri Feb  5 08:30:29 2021,7.160,7.094,7.257,7.285
Fri Feb  5 08:35:30 2021,7.159,7.079,7.262,7.287
Fri Feb  5 08:40:32 2021,7.162,7.088,7.260,7.291
Fri Feb  5 08:45:33 2021,7.161,7.084,7.264,7.290
Fri Feb  5 08:50:34 2021,7.161,7.087,7.264,7.291
Fri Feb  5 08:55:35 2021,7.159,7.075,7.260,7.295
Fri Feb  5 09:00:36 2021,7.162,7.088,7.261,7.296
Fri Feb  5 09:05:37 2021,7.167,7.086,7.260,7.296
Fri Feb  5 09:10:39 2021,7.167,7.066,7.265,7.297
Fri Feb  5 09:15:40 2021,7.167,7.093,7.263,7.293
Fri Feb  5 09:20:41 2021,7.169,7.081,7.263,7.297
Fri Feb  5 09:25:42 2021,7.168,7.079,7.266,7.299
Fri Feb  5 09:30:43 2021,7.169,7.069,7.263,7.298
Fri Feb  5 09:35:44 2021,7.168,7.084,7.265,7.296
Fri Feb  5 09:40:30 2021,7.173,7.072,7.261,7.301
Fri Feb  5 09:45:30 2021,7.174,7.087,7.261,7.301
Fri Feb  5 09:50:31 2021,7.172,7.091,7.263,7.304
Fri Feb  5 09:55:32 2021,7.173,7.071,7.265,7.307
Fri Feb  5 10:00:33 2021,7.177,7.069,7.266,7.310
Fri Feb  5 10:05:34 2021,7.179,7.075,7.264,7.310
Fri Feb  5 10:10:34 2021,7.180,7.071,7.266,7.311
Fri Feb  5 10:15:35 2021,7.178,7.074,7.264,7.309
Fri Feb  5 10:20:36 2021,7.179,7.073,7.261,7.313
Fri Feb  5 10:25:37 2021,7.183,7.073,7.265,7.314
Fri Feb  5 10:30:38 2021,7.187,7.075,7.266,7.316
Fri Feb  5 10:35:39 2021,7.182,7.076,7.267,7.311
Fri Feb  5 10:40:40 2021,7.182,7.076,7.264,7.316
Fri Feb  5 10:45:41 2021,7.184,7.077,7.266,7.321
Fri Feb  5 10:50:41 2021,7.186,7.077,7.268,7.320
Fri Feb  5 10:55:42 2021,7.187,7.077,7.265,7.323
Fri Feb  5 11:00:43 2021,7.188,7.077,7.267,7.326
Fri Feb  5 11:05:44 2021,7.187,7.079,7.271,7.324
Fri Feb  5 11:10:45 2021,7.190,7.080,7.269,7.327
Fri Feb  5 11:15:43 2021,7.187,7.080,7.272,7.327
Fri Feb  5 11:20:44 2021,7.189,7.089,7.268,7.328
Fri Feb  5 11:25:45 2021,7.192,7.090,7.273,7.330
Fri Feb  5 11:30:30 2021,7.193,7.080,7.275,7.331
Fri Feb  5 11:35:31 2021,7.190,7.084,7.272,7.333
Fri Feb  5 11:40:32 2021,7.190,7.080,7.271,7.336
Fri Feb  5 11:45:33 2021,7.191,7.084,7.272,7.337
Fri Feb  5 11:50:34 2021,7.192,7.085,7.272,7.333
Fri Feb  5 11:55:35 2021,7.198,7.083,7.275,7.339
Fri Feb  5 12:00:37 2021,7.197,7.088,7.277,7.336
Fri Feb  5 12:05:38 2021,7.198,7.088,7.275,7.342
Fri Feb  5 12:10:39 2021,7.202,7.087,7.277,7.340
Fri Feb  5 12:15:40 2021,7.203,7.089,7.275,7.341
Fri Feb  5 12:20:41 2021,7.204,7.090,7.278,7.348
Fri Feb  5 12:25:42 2021,7.203,7.089,7.278,7.344
Fri Feb  5 12:30:44 2021,7.203,7.090,7.279,7.343
Fri Feb  5 12:35:22 2021,7.209,7.089,7.281,7.347
Fri Feb  5 12:40:22 2021,7.208,7.092,7.280,7.350
Fri Feb  5 12:45:23 2021,7.209,7.094,7.282,7.353
Fri Feb  5 12:50:23 2021,7.212,7.094,7.281,7.346
Fri Feb  5 12:55:23 2021,7.211,7.096,7.283,7.353
Fri Feb  5 13:00:23 2021,7.211,7.098,7.282,7.353
Fri Feb  5 13:05:24 2021,7.211,7.100,7.284,7.355
Fri Feb  5 13:10:24 2021,7.210,7.106,7.286,7.356
Fri Feb  5 13:15:24 2021,7.212,7.109,7.283,7.357
Fri Feb  5 13:20:25 2021,7.211,7.114,7.285,7.358
Fri Feb  5 13:25:26 2021,7.213,7.115,7.287,7.361
Fri Feb  5 13:30:26 2021,7.214,7.116,7.288,7.360
Fri Feb  5 13:35:27 2021,7.214,7.117,7.287,7.363
Fri Feb  5 13:40:28 2021,7.214,7.120,7.287,7.365
Fri Feb  5 13:45:29 2021,7.215,7.122,7.286,7.364
Fri Feb  5 13:50:30 2021,7.217,7.123,7.289,7.364
Fri Feb  5 13:55:30 2021,7.222,7.130,7.289,7.365
Fri Feb  5 14:00:31 2021,7.217,7.128,7.289,7.367
Fri Feb  5 14:05:32 2021,7.222,7.129,7.288,7.368
Fri Feb  5 14:10:33 2021,7.223,7.133,7.291,7.368
Fri Feb  5 14:15:34 2021,7.222,7.133,7.293,7.369
Fri Feb  5 14:20:35 2021,7.226,7.135,7.293,7.369
Fri Feb  5 14:25:36 2021,7.226,7.135,7.291,7.372
Fri Feb  5 14:30:37 2021,7.226,7.138,7.291,7.369
Fri Feb  5 14:35:37 2021,7.226,7.142,7.293,7.370
Fri Feb  5 14:40:38 2021,7.228,7.142,7.293,7.370
Fri Feb  5 14:45:39 2021,7.224,7.144,7.295,7.372
Fri Feb  5 14:50:40 2021,7.227,7.141,7.294,7.371
Fri Feb  5 14:55:41 2021,7.230,7.143,7.294,7.376
Fri Feb  5 15:00:41 2021,7.230,7.145,7.294,7.377
Fri Feb  5 15:05:42 2021,7.236,7.147,7.292,7.377
Fri Feb  5 15:10:43 2021,7.235,7.150,7.295,7.376
Fri Feb  5 15:15:44 2021,7.236,7.151,7.295,7.379
Fri Feb  5 15:20:45 2021,7.236,7.153,7.295,7.382
Fri Feb  5 15:25:40 2021,7.236,7.152,7.295,7.377
Fri Feb  5 15:30:41 2021,7.236,7.152,7.297,7.381
Fri Feb  5 15:35:42 2021,7.239,7.156,7.297,7.378
Fri Feb  5 15:40:44 2021,7.241,7.159,7.295,7.384
Fri Feb  5 15:45:45 2021,7.240,7.159,7.296,7.382
Fri Feb  5 15:50:40 2021,7.240,7.159,7.298,7.390
Fri Feb  5 15:55:41 2021,7.244,7.160,7.299,7.386
Fri Feb  5 16:00:41 2021,7.243,7.164,7.300,7.385
Fri Feb  5 16:05:42 2021,7.243,7.164,7.299,7.386
Fri Feb  5 16:10:43 2021,7.241,7.166,7.301,7.386
Fri Feb  5 16:15:43 2021,7.242,7.163,7.302,7.388
Fri Feb  5 16:20:44 2021,7.244,7.169,7.298,7.387
Fri Feb  5 16:25:45 2021,7.245,7.168,7.300,7.390
Fri Feb  5 16:30:35 2021,7.243,7.171,7.299,7.391
Fri Feb  5 16:35:35 2021,7.244,7.172,7.301,7.389
Fri Feb  5 16:40:35 2021,7.241,7.171,7.300,7.390
Fri Feb  5 16:45:35 2021,7.247,7.173,7.303,7.392
Fri Feb  5 16:50:36 2021,7.247,7.173,7.301,7.392
Fri Feb  5 16:55:36 2021,7.248,7.175,7.300,7.393
Fri Feb  5 17:00:36 2021,7.247,7.178,7.300,7.395
Fri Feb  5 17:05:36 2021,7.248,7.178,7.304,7.394
Fri Feb  5 17:10:37 2021,7.246,7.179,7.306,7.395
Fri Feb  5 17:15:37 2021,7.249,7.180,7.304,7.398
Fri Feb  5 17:20:37 2021,7.253,7.181,7.304,7.395
Fri Feb  5 17:25:38 2021,7.251,7.180,7.303,7.400
Fri Feb  5 17:30:38 2021,7.255,7.184,7.305,7.395
Fri Feb  5 17:35:38 2021,7.255,7.184,7.306,7.394
Fri Feb  5 17:40:38 2021,7.253,7.184,7.304,7.399
Fri Feb  5 17:45:39 2021,7.253,7.186,7.307,7.398
Fri Feb  5 17:50:39 2021,7.256,7.188,7.304,7.396
Fri Feb  5 17:55:39 2021,7.258,7.187,7.308,7.398
Fri Feb  5 18:00:40 2021,7.257,7.188,7.309,7.399
Fri Feb  5 18:05:40 2021,7.258,7.191,7.309,7.400
Fri Feb  5 18:10:40 2021,7.261,7.189,7.311,7.402
Fri Feb  5 18:15:40 2021,7.259,7.191,7.311,7.404
Fri Feb  5 18:20:40 2021,7.260,7.193,7.309,7.401
Fri Feb  5 18:25:41 2021,7.264,7.198,7.311,7.407
Fri Feb  5 18:30:41 2021,7.265,7.197,7.316,7.404
Fri Feb  5 18:35:41 2021,7.264,7.197,7.318,7.404
Fri Feb  5 18:40:41 2021,7.266,7.198,7.318,7.406
Fri Feb  5 18:45:41 2021,7.266,7.198,7.317,7.405
Fri Feb  5 18:50:42 2021,7.265,7.203,7.318,7.410
Fri Feb  5 18:55:42 2021,7.268,7.202,7.317,7.408
Fri Feb  5 19:00:42 2021,7.266,7.203,7.316,7.413
Fri Feb  5 19:05:43 2021,7.268,7.205,7.319,7.409
Fri Feb  5 19:10:44 2021,7.269,7.205,7.319,7.413
Fri Feb  5 19:15:45 2021,7.270,7.206,7.307,7.415
Fri Feb  5 19:20:43 2021,7.270,7.209,7.300,7.415
Fri Feb  5 19:25:43 2021,7.274,7.211,7.301,7.415
