date,ACM1s2,ACM1s1,ACM0s2,ACM0s1
Sat Feb  6 10:00:45 2021,7.449,7.385,7.344,7.603
Sat Feb  6 10:05:40 2021,7.450,7.386,7.348,7.601
Sat Feb  6 10:10:41 2021,7.456,7.386,7.349,7.599
Sat Feb  6 10:15:42 2021,7.451,7.390,7.349,7.598
Sat Feb  6 10:20:43 2021,7.453,7.394,7.346,7.599
Sat Feb  6 10:25:43 2021,7.456,7.392,7.349,7.603
Sat Feb  6 10:30:44 2021,7.457,7.395,7.351,7.605
Sat Feb  6 10:35:45 2021,7.458,7.395,7.351,7.605
Sat Feb  6 10:40:39 2021,7.460,7.414,7.346,7.601
Sat Feb  6 10:45:40 2021,7.463,7.375,7.342,7.604
Sat Feb  6 10:50:41 2021,7.465,7.401,7.342,7.599
Sat Feb  6 10:55:41 2021,7.464,7.393,7.341,7.599
Sat Feb  6 11:00:42 2021,7.467,7.391,7.342,7.604
Sat Feb  6 11:05:43 2021,7.468,7.392,7.342,7.606
Sat Feb  6 11:10:43 2021,7.470,7.394,7.342,7.609
Sat Feb  6 11:15:44 2021,7.468,7.396,7.342,7.610
Sat Feb  6 11:20:45 2021,7.470,7.398,7.344,7.614
Sat Feb  6 11:25:33 2021,7.472,7.398,7.345,7.607
Sat Feb  6 11:30:33 2021,7.473,7.396,7.344,7.615
Sat Feb  6 11:35:34 2021,7.474,7.399,7.346,7.617
Sat Feb  6 11:40:34 2021,7.475,7.405,7.348,7.614
Sat Feb  6 11:45:34 2021,7.479,7.409,7.348,7.610
Sat Feb  6 11:50:34 2021,7.477,7.408,7.349,7.614
Sat Feb  6 11:55:35 2021,7.480,7.409,7.349,7.617
Sat Feb  6 12:00:35 2021,7.477,7.413,7.350,7.620
Sat Feb  6 12:05:35 2021,7.483,7.415,7.354,7.621
Sat Feb  6 12:10:35 2021,7.484,7.413,7.354,7.624
Sat Feb  6 12:15:35 2021,7.481,7.415,7.354,7.623
Sat Feb  6 12:20:36 2021,7.486,7.416,7.355,7.623
Sat Feb  6 12:25:36 2021,7.486,7.418,7.354,7.622
Sat Feb  6 12:30:36 2021,7.487,7.419,7.354,7.622
Sat Feb  6 12:35:37 2021,7.480,6.565,7.354,7.533
Sat Feb  6 12:40:38 2021,7.484,7.275,7.354,7.528
Sat Feb  6 12:45:39 2021,7.486,7.267,7.357,7.520
Sat Feb  6 12:50:40 2021,7.490,7.263,7.360,7.518
Sat Feb  6 12:55:41 2021,7.491,7.274,7.356,7.517
Sat Feb  6 13:00:42 2021,7.494,7.268,7.357,7.521
Sat Feb  6 13:05:43 2021,7.489,7.384,7.419,7.502
Sat Feb  6 13:10:38 2021,7.338,7.126,7.101,7.515
Sat Feb  6 13:15:38 2021,7.300,7.268,7.080,7.509
Sat Feb  6 13:20:38 2021,7.320,7.264,7.073,7.505
Sat Feb  6 13:25:39 2021,7.349,7.258,7.058,7.505
Sat Feb  6 13:30:39 2021,7.326,7.261,7.043,7.507
Sat Feb  6 13:35:39 2021,7.329,7.265,7.022,7.507
Sat Feb  6 13:40:39 2021,7.331,7.223,7.003,7.512
Sat Feb  6 13:45:40 2021,7.329,7.385,7.005,7.509
Sat Feb  6 13:50:40 2021,7.321,7.292,6.994,7.510
Sat Feb  6 13:55:40 2021,7.324,7.266,6.990,7.508
Sat Feb  6 14:00:40 2021,7.318,7.322,6.985,7.512
Sat Feb  6 14:05:41 2021,7.305,7.203,6.980,7.513
Sat Feb  6 14:10:41 2021,7.302,7.312,6.958,7.514
Sat Feb  6 14:15:41 2021,7.291,7.263,6.906,7.513
Sat Feb  6 14:20:41 2021,7.285,7.238,6.895,7.518
Sat Feb  6 14:25:41 2021,7.286,7.254,6.891,7.519
Sat Feb  6 14:30:41 2021,7.284,7.269,6.886,7.522
Sat Feb  6 14:35:42 2021,7.284,7.277,6.877,7.519
Sat Feb  6 14:40:42 2021,7.284,7.292,6.889,7.521
Sat Feb  6 14:45:43 2021,7.283,7.265,6.886,7.523
Sat Feb  6 14:50:44 2021,7.282,7.260,6.880,7.522
Sat Feb  6 14:55:44 2021,7.283,7.274,6.889,7.524
Sat Feb  6 15:00:45 2021,7.279,7.267,6.879,7.527
Sat Feb  6 15:05:43 2021,7.309,7.271,6.872,7.526
Sat Feb  6 15:10:43 2021,7.326,7.245,6.873,7.525
Sat Feb  6 15:15:43 2021,7.289,7.284,6.874,7.526
Sat Feb  6 15:20:44 2021,7.294,7.297,6.878,7.525
Sat Feb  6 15:25:44 2021,7.325,7.269,6.877,7.531
Sat Feb  6 15:30:44 2021,7.303,7.284,6.874,7.527
Sat Feb  6 15:35:44 2021,7.283,7.290,6.868,7.528
Sat Feb  6 15:40:44 2021,7.276,7.287,6.875,7.530
Sat Feb  6 15:45:44 2021,7.275,7.284,6.876,7.528
Sat Feb  6 15:50:44 2021,7.273,7.288,6.872,7.531
Sat Feb  6 15:55:45 2021,7.271,7.275,6.866,7.533
Sat Feb  6 16:00:37 2021,7.271,7.274,6.868,7.534
Sat Feb  6 16:05:45 2021,7.272,7.271,6.863,7.539
Sat Feb  6 16:10:39 2021,7.281,7.471,6.896,7.539
Sat Feb  6 16:15:39 2021,7.284,7.273,6.905,7.536
Sat Feb  6 16:20:40 2021,7.291,7.222,6.903,7.539
Sat Feb  6 16:25:41 2021,7.299,7.295,6.905,7.536
Sat Feb  6 16:30:43 2021,7.303,7.298,6.899,7.540
Sat Feb  6 16:35:44 2021,7.305,7.293,6.897,7.540
Sat Feb  6 16:40:43 2021,*ER,7.294,6.899,7.540
Sat Feb  6 16:45:43 2021,7.308,7.289,6.896,7.540
Sat Feb  6 16:50:44 2021,7.307,7.303,6.894,7.544
Sat Feb  6 16:55:45 2021,7.307,7.294,6.895,7.545
Sat Feb  6 17:00:22 2021,7.307,7.258,6.893,7.542
Sat Feb  6 17:05:23 2021,7.309,7.250,6.888,7.544
Sat Feb  6 17:10:24 2021,7.307,7.239,6.892,7.544
Sat Feb  6 17:15:25 2021,7.311,7.261,6.884,7.546
Sat Feb  6 17:20:26 2021,7.312,7.239,6.887,7.546
Sat Feb  6 17:25:26 2021,7.311,7.241,6.885,7.547
Sat Feb  6 17:30:27 2021,7.304,7.232,6.886,7.548
Sat Feb  6 17:35:28 2021,7.303,7.225,6.883,7.551
Sat Feb  6 17:40:29 2021,7.299,7.222,6.876,7.557
Sat Feb  6 17:45:30 2021,7.295,7.184,6.871,7.558
Sat Feb  6 17:50:31 2021,7.295,7.214,6.859,7.557
Sat Feb  6 17:55:32 2021,7.292,7.204,6.866,7.561
Sat Feb  6 18:00:33 2021,7.293,7.198,6.856,7.552
Sat Feb  6 18:05:33 2021,7.284,7.058,6.857,7.559
Sat Feb  6 18:10:34 2021,7.286,7.201,6.867,7.557
Sat Feb  6 18:15:35 2021,7.284,7.244,6.869,7.566
Sat Feb  6 18:20:36 2021,7.291,7.207,6.858,7.568
Sat Feb  6 18:25:37 2021,7.292,7.213,6.863,7.575
Sat Feb  6 18:30:37 2021,7.290,7.198,6.860,7.571
Sat Feb  6 18:35:38 2021,7.290,7.205,6.859,7.569
Sat Feb  6 18:40:39 2021,7.291,7.186,6.866,7.573
Sat Feb  6 18:45:40 2021,7.294,7.218,6.868,7.570
Sat Feb  6 18:50:41 2021,7.294,7.191,6.871,7.577
Sat Feb  6 18:55:41 2021,7.290,7.217,6.866,7.573
Sat Feb  6 19:00:42 2021,7.292,7.216,6.866,7.577
Sat Feb  6 19:05:43 2021,7.296,7.190,6.874,7.574
Sat Feb  6 19:10:44 2021,7.295,7.208,6.880,7.572
Sat Feb  6 19:15:44 2021,7.294,7.208,6.872,7.572
Sat Feb  6 19:20:36 2021,7.297,7.208,6.875,7.581
Sat Feb  6 19:25:37 2021,7.296,7.210,6.877,7.579
Sat Feb  6 19:30:38 2021,7.298,7.214,6.879,7.580
Sat Feb  6 19:35:40 2021,7.297,7.214,6.876,7.577
Sat Feb  6 19:40:41 2021,7.299,7.216,6.873,7.579
Sat Feb  6 19:45:42 2021,7.297,7.213,6.878,7.580
Sat Feb  6 19:50:43 2021,7.302,7.217,6.881,7.585
Sat Feb  6 19:55:44 2021,7.302,7.216,6.882,7.589
Sat Feb  6 20:00:45 2021,7.304,7.218,6.888,7.585
Sat Feb  6 20:05:27 2021,7.313,7.218,6.894,7.588
Sat Feb  6 20:10:28 2021,7.316,7.023,6.896,7.591
Sat Feb  6 20:15:28 2021,7.317,7.219,6.897,7.590
Sat Feb  6 20:20:29 2021,7.327,7.217,6.898,7.592
Sat Feb  6 20:25:30 2021,7.327,7.220,6.894,7.591
Sat Feb  6 20:30:30 2021,7.329,7.223,6.894,7.592
Sat Feb  6 20:35:31 2021,7.331,7.222,6.896,7.597
Sat Feb  6 20:40:31 2021,7.333,7.224,6.896,7.596
Sat Feb  6 20:45:32 2021,7.333,7.227,6.900,7.599
Sat Feb  6 20:50:33 2021,7.334,7.227,6.896,7.598
Sat Feb  6 20:55:33 2021,7.333,7.233,6.895,7.598
Sat Feb  6 21:00:34 2021,7.338,7.236,6.896,7.600
Sat Feb  6 21:05:35 2021,7.334,7.234,6.894,7.606
Sat Feb  6 21:10:35 2021,7.336,7.236,6.897,7.603
Sat Feb  6 21:15:36 2021,7.333,7.264,6.895,7.605
Sat Feb  6 21:20:36 2021,7.339,7.269,6.897,7.608
Sat Feb  6 21:25:37 2021,7.341,7.283,6.899,7.608
Sat Feb  6 21:30:38 2021,7.343,7.283,6.900,7.608
Sat Feb  6 21:35:38 2021,7.345,7.288,6.900,7.609
Sat Feb  6 21:40:39 2021,7.343,7.288,6.895,7.612
Sat Feb  6 21:45:39 2021,7.336,7.289,6.892,7.610
Sat Feb  6 21:50:40 2021,7.335,7.297,6.891,7.617
Sat Feb  6 21:55:41 2021,7.333,7.297,6.886,7.620
Sat Feb  6 22:00:41 2021,7.336,7.300,6.883,7.617
Sat Feb  6 22:05:42 2021,7.339,7.303,6.882,7.622
Sat Feb  6 22:10:43 2021,7.338,7.305,6.889,7.623
Sat Feb  6 22:15:43 2021,7.341,7.308,6.894,7.626
Sat Feb  6 22:20:33 2021,7.344,7.316,7,7.626
Sat Feb  6 22:25:34 2021,7.345,7.332,6.907,7.630
Sat Feb  6 22:30:35 2021,7.344,7.347,6.908,7.627
Sat Feb  6 22:35:36 2021,7.349,7.348,6.916,7.632
Sat Feb  6 22:40:36 2021,7.349,7.337,6.914,7.634
Sat Feb  6 22:45:37 2021,7.347,7.305,6.916,7.636
Sat Feb  6 22:50:38 2021,7.351,7.312,6.919,7.639
Sat Feb  6 22:55:39 2021,7.349,7.297,6.919,7.638
Sat Feb  6 23:00:40 2021,7.350,7.314,6.923,7.637
Sat Feb  6 23:05:41 2021,7.352,7.349,6.928,7.638
Sat Feb  6 23:10:42 2021,7.352,7.341,6.925,7.635
Sat Feb  6 23:15:43 2021,7.354,7.256,6.930,7.632
Sat Feb  6 23:20:43 2021,7.357,7.287,6.933,7.635
Sat Feb  6 23:25:44 2021,7.358,7.276,6.936,7.638
Sat Feb  6 23:30:45 2021,7.359,7.353,6.939,7.639
Sat Feb  6 23:35:41 2021,7.361,7.295,6.936,7.641
Sat Feb  6 23:40:42 2021,7.367,7.387,6.942,7.645
Sat Feb  6 23:45:42 2021,7.368,7.393,6.940,7.643
Sat Feb  6 23:50:43 2021,7.366,7.356,6.943,7.645
Sat Feb  6 23:55:44 2021,7.369,7.451,6.943,7.646
Sun Feb  7 00:00:44 2021,7.371,7.352,6.946,7.646
Sun Feb  7 00:05:45 2021,7.372,7.354,6.950,7.647
Sun Feb  7 00:10:22 2021,7.373,7.326,6.949,7.647
Sun Feb  7 00:15:22 2021,7.374,7.336,6.951,7.650
Sun Feb  7 00:20:22 2021,7.377,7.423,6.953,7.654
Sun Feb  7 00:25:22 2021,7.381,7.369,6.952,7.657
Sun Feb  7 00:30:22 2021,7.388,7.419,6.954,7.657
Sun Feb  7 00:35:22 2021,7.388,7.272,6.959,7.661
Sun Feb  7 00:40:22 2021,7.387,7.134,6.955,7.657
Sun Feb  7 00:45:22 2021,7.390,7.216,6.951,7.659
Sun Feb  7 00:50:22 2021,7.382,7.254,6.951,7.661
Sun Feb  7 00:55:22 2021,7.390,7.278,6.951,7.662
Sun Feb  7 01:00:22 2021,7.390,7.291,6.950,7.659
Sun Feb  7 01:05:22 2021,7.388,7.321,6.951,7.658
Sun Feb  7 01:10:22 2021,7.390,7.310,6.948,7.661
Sun Feb  7 01:15:22 2021,7.390,7.243,6.950,7.663
Sun Feb  7 01:20:22 2021,7.393,7.312,6.954,7.664
Sun Feb  7 01:25:22 2021,7.393,7.463,6.950,7.665
Sun Feb  7 01:30:23 2021,7.397,7.327,6.948,7.665
Sun Feb  7 01:35:24 2021,7.398,7.399,6.948,7.668
Sun Feb  7 01:40:25 2021,7.402,7.333,6.949,7.670
Sun Feb  7 01:45:26 2021,7.402,7.408,6.951,7.671
Sun Feb  7 01:50:27 2021,7.404,7.401,6.945,7.674
Sun Feb  7 01:55:28 2021,7.402,7.414,6.949,7.672
Sun Feb  7 02:00:29 2021,7.404,7.318,6.948,7.671
Sun Feb  7 02:05:30 2021,7.405,7.348,6.953,7.674
Sun Feb  7 02:10:31 2021,7.408,7.394,6.954,7.675
Sun Feb  7 02:15:31 2021,7.403,7.424,6.960,7.675
Sun Feb  7 02:20:32 2021,7.408,7.372,6.958,7.678
Sun Feb  7 02:25:33 2021,7.408,7.411,6.953,7.677
Sun Feb  7 02:30:34 2021,7.415,7.393,6.951,7.678
Sun Feb  7 02:35:35 2021,7.415,7.401,6.949,7.683
Sun Feb  7 02:40:36 2021,7.420,7.418,6.945,7.683
Sun Feb  7 02:45:37 2021,7.420,7.408,6.948,7.685
Sun Feb  7 02:50:37 2021,7.425,7.411,6.951,7.688
Sun Feb  7 02:55:38 2021,7.426,7.412,6.951,7.688
Sun Feb  7 03:00:39 2021,7.434,7.403,6.953,7.692
Sun Feb  7 03:05:40 2021,7.422,7.385,6.955,7.690
Sun Feb  7 03:10:41 2021,7.423,7.398,6.960,7.692
Sun Feb  7 03:15:42 2021,7.429,7.425,6.959,7.692
Sun Feb  7 03:20:43 2021,7.429,7.412,6.964,7.695
Sun Feb  7 03:25:29 2021,423,7.431,6.971,7.697
Sun Feb  7 03:30:44 2021,7.430,7.441,6.968,7.697
Sun Feb  7 03:35:45 2021,7.430,7.491,6.965,7.697
Sun Feb  7 03:40:30 2021,7.428,7.404,6.972,7.701
Sun Feb  7 03:45:31 2021,7.430,7.442,6.972,7.699
Sun Feb  7 03:50:31 2021,7.434,7.445,6.972,7.701
Sun Feb  7 03:55:32 2021,7.435,7.344,6.972,7.702
Sun Feb  7 04:00:32 2021,7.437,7.337,6.973,7.700
Sun Feb  7 04:05:33 2021,7.438,7.465,6.973,7.703
Sun Feb  7 04:10:34 2021,7.439,7.441,6.971,7.705
Sun Feb  7 04:15:34 2021,7.442,7.545,6.975,7.708
Sun Feb  7 04:20:35 2021,7.441,7.429,6.981,7.711
Sun Feb  7 04:25:36 2021,7.442,7.417,6.979,7.709
Sun Feb  7 04:30:36 2021,7.443,7.403,6.978,7.708
Sun Feb  7 04:35:37 2021,7.443,7.391,6.979,7.709
Sun Feb  7 04:40:38 2021,7.444,7.435,6.975,7.716
Sun Feb  7 04:45:38 2021,7.443,7.441,6.978,7.713
Sun Feb  7 04:50:39 2021,7.445,7.438,6.976,7.714
Sun Feb  7 04:55:39 2021,7.447,7.452,6.976,7.713
Sun Feb  7 05:00:40 2021,7.450,7.451,6.973,7.713
Sun Feb  7 05:05:41 2021,7.451,7.456,6.972,7.715
Sun Feb  7 05:10:41 2021,7.454,7.438,6.972,7.716
Sun Feb  7 05:15:42 2021,7.454,7.435,6.975,7.718
Sun Feb  7 05:20:43 2021,7.455,7.445,6.974,7.721
Sun Feb  7 05:25:39 2021,56,7.446,6.976,7.720
Sun Feb  7 05:30:44 2021,7.458,7.445,6.976,7.722
Sun Feb  7 05:35:45 2021,7.461,7.475,6.976,7.722
Sun Feb  7 05:40:41 2021,7.461,7.369,6.975,7.726
Sun Feb  7 05:45:41 2021,7.465,7.396,6.976,7.726
Sun Feb  7 05:50:42 2021,7.465,7.474,6.977,7.728
Sun Feb  7 05:55:42 2021,7.467,7.401,6.976,7.728
Sun Feb  7 06:00:43 2021,7.468,7.412,6.976,7.729
Sun Feb  7 06:05:43 2021,7.467,7.424,6.976,7.729
Sun Feb  7 06:10:44 2021,7.466,7.535,6.975,7.728
Sun Feb  7 06:15:44 2021,7.466,7.492,6.975,7.730
Sun Feb  7 06:20:45 2021,7.469,7.330,6.975,7.730
Sun Feb  7 06:25:33 2021,7.473,7.443,6.979,7.732
Sun Feb  7 06:30:34 2021,7.474,7.492,6.983,7.733
Sun Feb  7 06:35:34 2021,7.477,7.468,6.980,7.737
Sun Feb  7 06:40:35 2021,7.475,7.465,6.978,7.735
Sun Feb  7 06:45:36 2021,7.473,7.448,6.979,7.744
Sun Feb  7 06:50:37 2021,7.473,7.471,6.983,7.749
Sun Feb  7 06:55:38 2021,7.478,7.482,6.982,7.752
Sun Feb  7 07:00:39 2021,7.479,7.477,6.979,7.752
Sun Feb  7 07:05:40 2021,7.479,7.469,6.982,7.749
Sun Feb  7 07:10:41 2021,7.485,7.481,6.984,7.751
Sun Feb  7 07:15:42 2021,7.484,7.474,6.985,7.751
Sun Feb  7 07:20:43 2021,7.485,7.472,6.988,7.754
Sun Feb  7 07:25:44 2021,7.483,7.484,6.988,7.752
Sun Feb  7 07:30:45 2021,7.487,7.482,6.993,7.755
Sun Feb  7 07:35:26 2021,7.486,7.504,6.995,7.756
Sun Feb  7 07:40:26 2021,7.487,7.485,6.991,7.758
Sun Feb  7 07:45:26 2021,7.487,7.480,6.994,7.755
Sun Feb  7 07:50:27 2021,7.486,7.499,6.998,7.759
Sun Feb  7 07:55:27 2021,7.488,7.473,6.996,7.760
Sun Feb  7 08:00:27 2021,7.489,7.485,6.996,7.760
Sun Feb  7 08:05:27 2021,7.491,7.479,6.995,7.763
Sun Feb  7 08:10:27 2021,7.494,7.483,6.996,7.761
Sun Feb  7 08:15:27 2021,7.496,7.487,6.995,7.768
Sun Feb  7 08:20:27 2021,7.497,7.489,6.998,7.769
Sun Feb  7 08:25:28 2021,7.502,7.497,6.996,7.769
Sun Feb  7 08:30:28 2021,7.505,7.500,6.997,7.768
Sun Feb  7 08:35:28 2021,7.503,7.499,6.998,7.772
Sun Feb  7 08:40:29 2021,7.507,7.498,6.994,7.771
Sun Feb  7 08:45:30 2021,7.508,7.504,6.995,7.774
Sun Feb  7 08:50:31 2021,7.510,7.500,6.997,7.773
Sun Feb  7 08:55:32 2021,7.513,7.495,7.000,7.778
Sun Feb  7 09:00:32 2021,7.516,7.500,6.999,7.774
Sun Feb  7 09:05:33 2021,7.513,7.500,6.998,7.778
Sun Feb  7 09:10:34 2021,7.516,7.498,6.998,7.778
Sun Feb  7 09:15:35 2021,7.518,7.497,6.997,7.778
Sun Feb  7 09:20:36 2021,7.520,7.496,7.000,7.783
Sun Feb  7 09:25:36 2021,7.520,7.499,7.002,7.783
Sun Feb  7 09:30:37 2021,7.524,7.500,7.003,7.782
Sun Feb  7 09:35:38 2021,7.524,7.500,7.005,7.785
Sun Feb  7 09:40:39 2021,7.524,7.498,7.006,7.792
Sun Feb  7 09:45:40 2021,7.525,7.502,7.006,7.785
Sun Feb  7 09:50:41 2021,7.525,7.511,7.007,7.784
Sun Feb  7 09:55:42 2021,7.525,7.551,7.012,7.787
Sun Feb  7 10:00:42 2021,7.525,7.501,7.007,7.788
Sun Feb  7 10:05:43 2021,7.533,7.479,7.003,7.789
Sun Feb  7 10:10:44 2021,7.543,7.442,7.007,7.795
Sun Feb  7 10:15:45 2021,7.535,7.456,7.005,7.797
Sun Feb  7 10:20:39 2021,7.532,7.457,7.009,7.798
Sun Feb  7 10:25:40 2021,7.531,7.482,7.007,7.796
Sun Feb  7 10:30:41 2021,7.531,7.473,7.015,7.798
Sun Feb  7 10:35:42 2021,7.532,7.480,7.011,7.799
Sun Feb  7 10:40:43 2021,7.536,7.510,7.012,7.802
Sun Feb  7 10:45:44 2021,7.535,7.508,7.018,7.803
Sun Feb  7 10:50:45 2021,7.536,7.507,7.016,7.804
Sun Feb  7 10:55:35 2021,7.538,7.513,7.018,7.802
Sun Feb  7 11:00:35 2021,7.545,7.619,7.019,7.806
Sun Feb  7 11:05:36 2021,7.549,7.525,7.018,7.805
Sun Feb  7 11:10:36 2021,7.549,7.512,7.024,7.811
Sun Feb  7 11:15:37 2021,7.551,7.535,7.025,7.811
Sun Feb  7 11:20:37 2021,7.556,7.532,7.028,7.812
Sun Feb  7 11:25:38 2021,7.559,7.521,7.032,7.814
Sun Feb  7 11:30:39 2021,7.556,7.492,7.034,7.812
Sun Feb  7 11:35:39 2021,7.557,7.552,7.038,7.815
Sun Feb  7 11:40:40 2021,7.560,7.524,7.037,7.816
Sun Feb  7 11:45:40 2021,7.560,7.540,7.046,7.818
Sun Feb  7 11:50:41 2021,7.559,7.543,7.044,7.820
Sun Feb  7 11:55:41 2021,7.561,7.550,7.046,7.822
Sun Feb  7 12:00:42 2021,7.563,7.532,7.047,7.823
Sun Feb  7 12:05:43 2021,7.566,7.536,7.050,7.826
Sun Feb  7 12:10:43 2021,7.567,7.540,7.050,7.829
Sun Feb  7 12:15:44 2021,7.573,7.545,7.047,7.828
Sun Feb  7 12:20:44 2021,7.570,7.547,7.051,7.826
Sun Feb  7 12:25:45 2021,7.573,7.541,7.052,7.832
Sun Feb  7 12:30:38 2021,7.574,7.539,7.055,7.829
Sun Feb  7 12:35:38 2021,7.579,7.554,7.056,7.831
Sun Feb  7 12:40:38 2021,7.579,7.558,7.056,7.833
Sun Feb  7 12:45:39 2021,7.583,7.508,7.053,7.832
Sun Feb  7 12:50:39 2021,7.584,7.545,7.052,7.834
Sun Feb  7 12:55:39 2021,7.585,7.543,7.052,7.833
Sun Feb  7 13:00:39 2021,7.586,7.550,7.051,7.836
Sun Feb  7 13:05:40 2021,7.586,7.554,7.052,7.834
Sun Feb  7 13:10:40 2021,7.589,7.543,7.055,7.842
Sun Feb  7 13:15:40 2021,7.587,7.552,7.054,7.841
Sun Feb  7 13:20:40 2021,7.591,7.552,7.052,7.839
Sun Feb  7 13:25:41 2021,7.591,7.543,7.050,7.839
Sun Feb  7 13:30:41 2021,7.591,7.576,7.059,7.843
Sun Feb  7 13:35:41 2021,7.589,7.566,7.053,7.847
Sun Feb  7 13:40:42 2021,7.595,7.568,7.052,7.847
Sun Feb  7 13:45:42 2021,7.595,7.553,7.054,7.852
Sun Feb  7 13:50:42 2021,7.610,7.554,7.050,7.850
Sun Feb  7 13:55:42 2021,7.603,7.566,7.056,7.850
Sun Feb  7 14:00:43 2021,7.604,7.556,7.056,7.852
Sun Feb  7 14:05:43 2021,7.607,7.578,7.053,7.853
Sun Feb  7 14:10:44 2021,7.600,7.524,7.055,7.853
Sun Feb  7 14:15:45 2021,7.603,7.568,7.055,7.853
Sun Feb  7 14:20:44 2021,7.601,7.567,7.056,7.851
Sun Feb  7 14:25:44 2021,7.602,7.575,7.061,7.857
Sun Feb  7 14:30:44 2021,7.604,7.570,7.061,7.857
Sun Feb  7 14:35:44 2021,7.605,7.569,7.063,7.854
Sun Feb  7 14:40:44 2021,7.609,7.578,7.064,7.855
Sun Feb  7 14:45:43 2021,7.610,7.570,7.069,7.858
Sun Feb  7 14:50:45 2021,610,7.576,7.067,7.859
Sun Feb  7 14:55:45 2021,7.611,7.572,7.069,7.857
Sun Feb  7 15:00:22 2021,7.616,7.579,7.069,7.859
Sun Feb  7 15:05:22 2021,7.617,7.581,7.072,7.864
Sun Feb  7 15:10:23 2021,7.618,7.572,7.074,7.864
Sun Feb  7 15:15:23 2021,7.619,7.584,7.073,7.865
Sun Feb  7 15:20:24 2021,7.620,7.551,7.076,7.864
Sun Feb  7 15:25:25 2021,7.621,7.581,7.078,7.867
Sun Feb  7 15:30:25 2021,7.623,7.568,7.079,7.866
Sun Feb  7 15:35:26 2021,7.626,7.580,7.078,7.868
Sun Feb  7 15:40:26 2021,7.631,7.583,7.077,7.869
Sun Feb  7 15:45:27 2021,7.631,7.585,7.080,7.874
Sun Feb  7 15:50:28 2021,7.634,7.600,7.080,7.873
Sun Feb  7 15:55:28 2021,7.629,7.598,7.082,7.875
Sun Feb  7 16:00:29 2021,7.628,7.609,7.084,7.875
Sun Feb  7 16:05:29 2021,7.635,7.591,7.082,7.878
Sun Feb  7 16:10:30 2021,7.636,7.583,7.087,7.877
Sun Feb  7 16:15:31 2021,7.638,7.565,7.088,7.877
Sun Feb  7 16:20:31 2021,7.636,7.612,7.091,7.878
Sun Feb  7 16:25:32 2021,7.634,7.597,7.092,7.879
Sun Feb  7 16:30:32 2021,7.638,7.577,7.094,7.880
Sun Feb  7 16:35:33 2021,7.641,7.611,7.094,7.886
Sun Feb  7 16:40:33 2021,7.641,7.578,7.094,7.884
Sun Feb  7 16:45:34 2021,7.645,7.599,7.096,7.886
Sun Feb  7 16:50:34 2021,7.643,7.596,7.096,7.886
Sun Feb  7 16:55:35 2021,7.646,7.600,7.098,7.889
Sun Feb  7 17:00:35 2021,7.649,7.596,7.096,7.890
Sun Feb  7 17:05:36 2021,7.649,7.603,7.100,7.891
Sun Feb  7 17:10:37 2021,7.651,7.607,7.098,7.893
Sun Feb  7 17:15:38 2021,7.652,7.604,7.102,7.891
Sun Feb  7 17:20:39 2021,7.654,7.605,7.100,7.897
Sun Feb  7 17:25:40 2021,7.656,7.607,7.106,7.899
Sun Feb  7 17:30:41 2021,7.656,7.539,7.107,7.900
Sun Feb  7 17:35:42 2021,7.659,7.598,7.106,7.902
Sun Feb  7 17:40:43 2021,7.659,7.604,7.108,7.906
Sun Feb  7 17:45:44 2021,7.659,7.602,7.105,7.901
Sun Feb  7 17:50:45 2021,7.667,7.603,7.105,7.903
Sun Feb  7 17:55:42 2021,7.671,7.601,7.109,7.902
Sun Feb  7 18:00:42 2021,7.671,7.603,7.108,7.904
Sun Feb  7 18:05:43 2021,7.673,7.602,7.112,7.908
Sun Feb  7 18:10:44 2021,7.677,7.603,7.103,7.909
Sun Feb  7 18:15:44 2021,7.680,7.606,7.106,7.909
Sun Feb  7 18:20:45 2021,7.679,7.607,7.103,7.908
Sun Feb  7 18:25:33 2021,7.680,7.609,7.109,7.908
Sun Feb  7 18:30:33 2021,7.686,7.609,7.110,7.911
Sun Feb  7 18:35:34 2021,7.687,7.608,7.110,7.912
Sun Feb  7 18:40:35 2021,7.685,7.612,7.106,7.912
Sun Feb  7 18:45:36 2021,7.688,7.612,7.112,7.914
Sun Feb  7 18:50:36 2021,7.685,7.759,7.109,7.916
Sun Feb  7 18:55:37 2021,7.691,7.593,7.112,7.915
Sun Feb  7 19:00:38 2021,7.690,7.624,7.124,7.920
Sun Feb  7 19:05:39 2021,7.689,7.589,7.119,7.921
Sun Feb  7 19:10:40 2021,7.692,7.619,7.118,7.918
Sun Feb  7 19:15:40 2021,7.692,7.612,7.118,7.923
Sun Feb  7 19:20:41 2021,7.694,7.624,7.113,7.925
Sun Feb  7 19:25:42 2021,7.695,7.663,7.115,7.923
Sun Feb  7 19:30:43 2021,7.696,7.639,7.112,7.925
Sun Feb  7 19:35:43 2021,7.702,7.625,7.117,7.924
Sun Feb  7 19:40:44 2021,7.703,7.633,7.117,7.932
Sun Feb  7 19:45:45 2021,7.702,7.646,7.117,7.931
Sun Feb  7 19:50:28 2021,7.706,7.634,7.120,7.932
Sun Feb  7 19:55:29 2021,7.709,7.641,7.120,7.930
Sun Feb  7 20:00:30 2021,7.707,7.626,7.124,7.929
Sun Feb  7 20:05:31 2021,7.708,7.622,7.121,7.933
Sun Feb  7 20:10:32 2021,7.711,7.627,7.126,7.931
