  PID TTY      STAT   TIME COMMAND
  683 ?        S      0:00 /usr/bin/hciattach /dev/serial1 bcm43xx 3000000 flow - b8:27:eb:b1:39:cd
  684 ?        I<     0:00 [kworker/u9:2-hci0]
  686 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
  699 ?        S<     0:00 [krfcommd]
 4683 ?        S      0:35 python pHFileReaderACM1.py
15489 ?        Ss     0:01 /usr/sbin/cupsd -l
15491 ?        Ssl    1:47 /usr/sbin/cups-browsed
16977 ?        I      0:00 [kworker/2:2-events]
17515 ?        I      0:00 [kworker/3:0-events]
18946 ?        Ss     0:00 sshd: pi [priv]
18948 ?        Ss     0:00 sshd: pi [priv]
18954 ?        S      0:02 sshd: pi@pts/0
18955 pts/0    Ss     0:00 -bash
18963 ?        S      0:00 sshd: pi@notty
18973 ?        Ss     0:00 /usr/lib/openssh/sftp-server
19071 ?        I<     0:00 [kworker/2:1H]
19073 ?        I      0:00 [kworker/2:1-mm_percpu_wq]
19170 ?        I<     0:00 [kworker/0:0H]
19172 ?        I      0:00 [kworker/1:0-events_power_efficient]
19173 ?        I<     0:00 [kworker/3:0H]
19203 ?        I      0:00 [kworker/u8:2-brcmf_wq/mmc1:0001:1]
19204 ?        I      0:00 [kworker/0:0-events]
19205 ?        I<     0:00 [kworker/1:0H]
19211 ?        I      0:00 [kworker/3:2-events]
19242 ?        I      0:00 [kworker/u8:3-brcmf_wq/mmc1:0001:1]
19243 ?        I      0:00 [kworker/0:1-events]
19261 ?        I      0:00 [kworker/0:2-events]
19274 ?        I      0:00 [kworker/1:2-events]
19275 ?        I      0:00 [kworker/u8:0-events_unbound]
19276 ?        I      0:00 [kworker/0:3-events]
19277 ?        I      0:00 [kworker/0:4-events]
19284 ?        I      0:00 [kworker/3:1]
19331 ?        I      0:00 [kworker/2:0]
19383 ?        I      0:00 [kworker/u8:1-events_unbound]
19399 ?        I      0:00 [kworker/1:1-events_freezable]
19400 pts/0    R+     0:00 ps xwa
27979 ?        Ssl    0:00 /usr/lib/colord/colord
