date,ACM1,ACM0
Thu Mar  4 10:39:11 2021,Ready
Thu Mar  4 10:39:34 2021,Ready
Thu Mar  4 10:40:30 2021,    pH:6.40 
Thu Mar  4 10:40:34 2021,    pH:6.41 
Thu Mar  4 10:53:10 2021,    pH:6.42 
Thu Mar  4 10:54:57 2021,    pH:6.39 
Thu Mar  4 10:59:58 2021,    pH:6.40 
Thu Mar  4 11:05:00 2021,    pH:6.43 
